COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Timor-Leste,TLS,SEARO,REPORTING,2023-06-26,2019384,884194,153.164,67.063,799627,60.649,,2021-04-07,4,335563,"""25.451"""
India,IND,SEARO,REPORTING,2023-06-27,2206737729,1025823823,159.908,74.335,952120865,68.994,,2021-01-16,8,228793041,"""16.579"""
Indonesia,IDN,SEARO,REPORTING,2023-06-06,447595845,203845350,163.641,74.526,174893201,63.941,,2021-01-13,7,68857294,"""25.174"""
Myanmar,MMR,SEARO,REPORTING,2023-05-02,89454913,40354937,164.41,74.169,35196377,64.688,,2021-01-27,2,13903599,"""25.553"""
Maldives,MDV,SEARO,REPORTING,2023-05-25,951764,399308,176.075,73.872,385167,71.255,,2021-02-01,8,167289,"""30.948"""
Sri Lanka,LKA,SEARO,REPORTING,2022-10-30,40116590,17143761,187.345,80.061,14752827,68.896,,2021-01-29,6,8220002,"""38.387"""
Thailand,THA,SEARO,REPORTING,2023-06-23,139279946,57652499,199.542,82.597,54181443,77.624,,2021-02-28,8,27446004,"""39.321"""
Nepal,NPL,SEARO,REPORTING,2023-06-20,62086946,27804935,213.088,95.429,24389063,83.705,,2021-01-27,8,9892948,"""33.953"""
Bangladesh,BGD,SEARO,REPORTING,2023-06-25,360177584,151379833,218.701,91.918,141208849,85.743,,2021-01-27,8,67588902,"""41.04"""
Bhutan,BTN,SEARO,REPORTING,2022-10-30,2011426,699116,260.68,90.605,677669,87.826,,2021-03-27,5,634641,"""82.249"""
